"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-24","53","56","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-25","53","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-26","53","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-27","53","57","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-28","53","64","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-29","55","70","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-30","57","67","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-01","57","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-02","55","61","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-03","55","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-04","54","65","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-05","64","81","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-06","64","74","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-07","60","66","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-08","57","73","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-09","60","78","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-10","60","68","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-11","57","64","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-12","58","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-13","57","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-14","57","68","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-15","58","70","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-16","58","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-17","57","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-18","57","66","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-19","60","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-20","58","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-21","57","72","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-22","57","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-23","55","61","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-24","55","60","52"
